symbol,day,v2_scope,coverage,A_event,A_cards,A_class,B_v2,B_class,C_original,C_class
AAPL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=219 | published=0,FAILED_GATE
SPCX,2026-09-08,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=349 | published=0,FAILED_GATE
SPCX,2026-09-09,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=376 | published=0,FAILED_GATE
SPCX,2026-09-10,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),opening_blackout_gate=2; volatility_gate=329 | published=0,FAILED_GATE
STX,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=332 | published=0,FAILED_GATE
STX,2026-09-09,POLLED,market_data+SEC,UNREGISTERED_EQUITY_SALE(BMO);REGULATION_FD(BMO);OTHER_MATERIAL_EVENT(BMO),3/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=2; volatility_gate=366 | published=0,FAILED_GATE
STX,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=315 | published=0,FAILED_GATE
TSLA,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=365 | published=0,FAILED_GATE
TSLA,2026-09-09,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=359 | published=0,FAILED_GATE
TSLA,2026-09-10,POLLED,market_data+SEC,none,1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=374 | published=0,FAILED_GATE
UNH,2026-09-08,POLLED,market_data+SEC,REGULATION_FD(RTH),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=286 | published=0,FAILED_GATE
UNH,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=303 | published=0,FAILED_GATE
UNH,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=355 | published=0,FAILED_GATE
V,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=247 | published=0,FAILED_GATE
V,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=341 | published=0,FAILED_GATE
V,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=346 | published=0,FAILED_GATE
VRT,2026-09-08,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=265 | published=0,FAILED_GATE
VRT,2026-09-09,POLLED,market_data+SEC,none,1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=327 | published=0,FAILED_GATE
VRT,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; trend_gate=1; volatility_gate=319 | published=0,FAILED_GATE
WMT,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=291 | published=0,FAILED_GATE
WMT,2026-09-09,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=366 | published=0,FAILED_GATE
WMT,2026-09-10,POLLED,market_data+SEC,none,4/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=377 | published=0,FAILED_GATE
